gatunek;rasa
pies;akita
pies;alaskan
pies;basenji
pies;beagle
pies;bearded collie
pies;bernardyn
pies;berneński
pies;bloodhound
pies;bokser
pies;boston tereier
pies;buhund
pies;buldog angielski
pies;buldog francuski
pies;bullmastif
pies;cavalier
pies;charcik
pies;chart
pies;chiuahua
pies;chow chow
pies;coker spaniel
pies;dalmatyńczyk
pies;doberman
pies;dog
pies;drever
pies;elkhund
pies;faraona
pies;foksterier
pies;golden retriever
pies;gończy
pies;grzywacz chiński
pies;hawańczyk
pies;hokkaido
pies;hollandse
pies;hot
pies;husky
pies;jamnik
pies;kelpie
pies;komondor
pies;lablador
pies;lhasa apso
pies;łajka
pies;maltańczyk
pies;mastif
pies;mops
pies;nagi
pies;nowofunland
pies;ogar
pies;ogar
pies;owczarek
pies;pekińczyk
pies;pinczer
pies;pondeco
pies;pudel
pies;puli
pies;rottweiler
pies;samoyed
pies;seter
pies;shar pei
pies;shiba inu
pies;shih tzu
pies;skye
pies;spaniel
pies;sznaucer
pies;szpic
pies;terier
pies;welsh corgi
pies;whippet
pies;wilczak
pies;wyżeł
pies;yorkshire terrier
kot;abisyński
kot;amerykański
kot;balijski
kot;bengalski
kot;bobtail
kot;bombajski
kot;brytyjski
kot;burmański
kot;cornish
kot;dachowiec
kot;dachowiec
kot;doński
kot;egzotyczny
kot;europejski
kot;gagamuffin
kot;hawański
kot;himalajski
kot;kartuski
kot;maine coon
kot;perski
kot;ragdoll
kot;rosyjski
kot;sfinks
kot;syberyjski
kot;syjamski
kot;tajski
kot;tiffanie
kot;turecki van
królik;baranek miniaturka
królik;holenderski
królik;lew miniaturka
królik;mini rex
królik;teddy
świnka morska;abisyńska
świnka morska;gładkowłosa
świnka morska;peruwianka
ptak;kanarek
ptak;nimfa
ptak;papuga
ptak;papużka falista
ptak;słowik chiński
szynszyla;
koszatniczka;
mysz domowa;
szczur domowy;
chomik;
myszoskoczek;
jeż hodowlany;
